καί,"and, even, also, namely"
ἔθνη,"a race, people, the Gentiles"
ἀνήρ,"a male human being, a man"
γυναῖκα,"a woman, wife, my lady"
ἀκούσαντες,"I hear, listen"
εὐθύς,"straight, immediately"
ὁδόν,"a way, road, journey"
σοί,you
ἑαυτοῖς,"himself, herself, itself"
ἐλθών,"I come, go"
ἔχετε,"I have, hold, possess"
ποῦ,"where, whither"
ἀρχιερεῖς,"high priest, chief priest"
ἧς,"who, which, what, that"
ἡμέραις,a day
ἄρα,"then, therefore, since"
Φαρισαῖοι,a Pharisee
βασιλεύς,"a king, ruler, emperor"
ἔμπροσθεν,"in front, before the face"
δόξης,"honor, renown, glory splendor"
ἔχω,"I have, hold, possess"
φῶς,"light, a source of light"
οὐκέτι,"no longer, no more"
ἑαυτοῦ,"himself, herself, itself"
ἄγγελος,"an angel, messenger"
ζωῆς,life
πρό,before
ἄχρι,"as far as, up to, until"
ποιῆσαι,"I do, make"
ἅγιον,"set apart, holy, sacred"
οἷς,"who, which, what, that"
πᾶσα,"all, the whole, every kind of"
γένηται,"I come into being, am born"
ἔχοντες,"I have, hold, possess"
μαθητῶν,"a learner, disciple, pupil"
ὄχλος,a crowd
τόπον,a place
κόσμον,"the world, universe"
οὐαί,"woe!, alas!"
ἐθνῶν,"a race, people, the Gentiles"
αἰώνιον,"eternal, unending"
λόγῳ,"a word, speech, divine utterance, analogy"
πάσῃ,"all, the whole, every kind of"
λαόν,"a people, the crowd"
ὤν,"I am, exist"
ἀνθρώποις,"a man, one of the human race"
πρόσωπον,"the face, countenance, surface"
ἀληθείας,truth
θάλασσαν,"the sea, lake"
οὐρανόν,"the sky, the heaven"
ἔφη,I say
ᾖ,"I am, exist"
οἴδαμεν,"I know, remember"
ἀδελφός,a brother
ἔχομεν,"I have, hold, possess"
αἷμα,blood
εἰσῆλθε(ν),"I go in, come in, enter"
ἁγίου,"set apart, holy, sacred"
πάσης,"all, the whole, every kind of"
εἶδε(ν),"I see, look upon, experience"
χάριν,"grace, favor, kindness"
ἕνα,one
τρεῖς,three
χωρίς,"apart from, without"
ἔργων,"work, labor, action, deed"
ἐγέννησε(ν),"I beget, bring forth, give birth to"
Μωϋσῆς,Moses
ἐλθεῖν,"I come, go"
οὐρανῶν,"the sky, the heaven"
ἀδελφόν,a brother
μαθηταῖς,"a learner, disciple, pupil"
πάντοτε,"always, at all times"
σήμερον,"today, now"
ἑαυτῶν,"himself, herself, itself"
ἰδόντες,"I see, look upon, experience"
ἤρξατο,"I reign, rule"
λέγειν,"I say, speak"
ψυχήν,"the soul, life, self"
φωνήν,"a sound, noise, voice"
οἰκίαν,"a house, household"
ἀπῆλθε(ν),"I come or go away from, depart, return"
θέλημα,"will, wish, desire"
εὐαγγέλιον,"the good news, the gospel"
χρείαν,"need, necessity, business"
λαβών,"I receive, take"
Ἰωάννου,John
σαρκί,"flesh, body"
μαθητάς,"a learner, disciple, pupil"
εἰρήνη,"peace, peace of mind"
ἀδελφούς,a brother
Πιλᾶτος,Pilate
ἄρτον,"bread, a loaf, food"
σέ,you
πολλῶν,"much, many, often"
ἥτις,"whosoever, whichsoever, whatsoever"
ἕκαστος,"each, every one"
ἀπέστειλε(ν),"I send forth, send, send away, dismiss"
λαοῦ,"a people, the crowd"
Ἱεροσόλυμα,Jerusalem
ἁγίων,"set apart, holy, sacred"
ἰδεῖν,"I see, look upon, experience"
θέλω,"I will, wish, desire"
πέντε,five
σημεῖον,"a sign, miracle, indication"
καρπόν,"fruit, result, gain"
γραμματεῖς,"a scribe, town-clerk, man of learning"
ἐκείνῃ,"that, that one there, yonder"
ἔργον,"work, labor, action, deed"
Γαλιλαίας,Galilee
σάρκα,"flesh, body"
ὀφθαλμούς,the eye
σαρκός,"flesh, body"
ᾗ,"who, which, what, that"
Ἰωάννην,John
ἔχουσι(ν),"I have, hold, possess"
καλῶς,"well, nobly, rightly"
κόσμῳ,"the world, universe"
ὥσπερ,"just as, as"
μίαν,one
οὐρανοῖς,"the sky, the heaven"
ἀναστάς,"I raise up, set up, rise from"
πόλεως,a city
σώματος,"body, flesh"
Σίμων,Simon
εἰσελθεῖν,"I go in, come in, enter"
πίστις,"faith, belief, trust"
γενέσθαι,"I come into being, am born"
ἀγάπη,love
ἄρτι,"now, just now"
δικαιοσύνην,"justice, justness, righteousness"
μεγάλη,"large, great"
δοῦλος,a male slave
υἱοῦ,"a son, descendent"
εὐθέως,"immediately, soon"
ὅλον,"all, the whole, entire"
οὐρανῷ,"the sky, the heaven"
ὀπίσω,"behind, after"
μηδέν,"no one, nothing"
Ἰωσήφ,Joseph
δόξα,"honor, renown, glory splendor"
καρδίᾳ,"the heart, inner life, intention"
ἤκουσα,"I hear, listen"
μεγάλῃ,"large, great"
οἵ,"who, which, what, that"
στόματος,"the mouth, speech"
παντός,"all, the whole, every kind of"
ποιεῖτε,"I do, make"
ὄχλον,a crowd
μήτε,"nor, neither, not even"
φαγεῖν,I eat
νόμος,"a law, the Mosaic Law"
βλέπετε,"I look, see"
αἵματος,blood
δοῦναι,"I offer, give"
υἱοί,"a son, descendent"
εὗρον,I find
πλοῖον,"a ship, vessel"
σεαυτόν,of yourself
ἀγαθόν,good
ἔλθῃ,"I come, go"
δύναμιν,"might, power, marvelous works"
ταύτης,"this, he, she, it"
φωνῇ,"a sound, noise, voice"
πατρί,"father, Father, ancestor"
πιστός,"trustworthy, faithful, believing"
τέλος,"an end, purpose, tax"
ἀκούσας,"I hear, listen"
γενομένης,"I come into being, am born"
νυκτός,"the night, night-time"
ἀγάπην,love
ἑνός,one
ναί,"yes, certainly, even so"
ὥρα,"an hour, season"
κόσμος,"the world, universe"
προφητῶν,"a prophet, poet"
ἔθνεσι(ν),"a race, people, the Gentiles"
δαιμόνια,"an evil-spirit, demon"
θρόνου,"a throne, seat"
σημεῖα,"a sign, miracle, indication"
ταύτῃ,"this, he, she, it"
μήτηρ,a mother
ἀπέθανε(ν),"I am dying, am about to die"
φωνή,"a sound, noise, voice"
αἰῶνα,"an age, a cycle of time"
ἁμαρτιῶν,a sin
ἐλάλησε(ν),"I speak, say"
πλήν,"however, nevertheless"
νόμῳ,"a law, the Mosaic Law"
τινα,"any one, some one"
ἀνθρώπους,"a man, one of the human race"
ἀγγέλων,"an angel, messenger"
ὁμοίως,in like manner
γέγονε(ν),"I come into being, am born"
ἄνδρα,"a male human being, a man"
ἔσονται,"I am, exist"
ἐδόθη,"I offer, give"
ἴδε,See! Lo! Behold! Look!
ἔχειν,"I have, hold, possess"
εἰπών,"I say, speak"
Παύλου,Paul
Παῦλον,Paul
ἐγγύς,near
ἀγαπητοί,"loved, beloved"
ἄρτους,"bread, a loaf, food"
διδάσκαλε,a teacher
χεῖρα,a hand
ἀληθείᾳ,truth
δικαιοσύνης,"justice, justness, righteousness"
ἱμάτια,outer garment
ἐκκλησίας,"an assembly, congregation, church"
πόθεν,whence
ἔτη,a year
κεφαλήν,the head
ποτέ,at one time or other
θαλάσσης,"the sea, lake"
ἔπεσε(ν),"I fall, fall under"
πρῶτος,"first, before"
πυρός,"fire, trials"
ὅσοι,"how much, how great, how many"
πάσχα,"the feast of Passover, the Passover lamb"
Φαρισαίων,a Pharisee
λέγετε,"I say, speak"
αἰῶνας,"an age, a cycle of time"
στόμα,"the mouth, speech"
ἔξεστι(ν),"it is permitted, lawful, possible"
ἔχεις,"I have, hold, possess"
λόγου,"a word, speech, divine utterance, analogy"
ὥρᾳ,"an hour, season"
ἄνθρωποι,"a man, one of the human race"
ἔχοντα,"I have, hold, possess"
αἰώνων,"an age, a cycle of time"
ἱερῷ,"sacred, holy"
ἀγάπῃ,love
ἁμαρτία,a sin
ἀρχιερεύς,"high priest, chief priest"
τούτους,"this, he, she, it"
ποιεῖ,"I do, make"
μένει,"I remain, abide"
προφήτης,"a prophet, poet"
ἑαυτῷ,"himself, herself, itself"
μέσῳ,"middle, in the middle"
ῥήματα,a thing spoken
χρόνον,"time, a particular time, season"
Ἰακώβ,Jacob
ἄλλοι,"other, another, different"
παιδίον,"a little child, an infant"
χάριτος,"grace, favor, kindness"
δύνασθε,"I am powerful, am able"
ὄρος,a mountain
ἐκεῖθεν,"thence, from that place"
ἁμαρτίαν,a sin
ὄχλοι,a crowd
ποιῶν,"I do, make"
ὅστις,"whosoever, whichsoever, whatsoever"
ἔλαβον,"I receive, take"
μητέρα,a mother
ἡμέραι,a day
ἐρχόμενος,"I come, go"
γίνεται,"I come into being, am born"
Μαριάμ,Miriam
προφήτου,"a prophet, poet"
ἠκούσατε,"I hear, listen"
Ἰουδαίας,Judea
πρόβατα,a sheep
ἐπεί,"after, for, since, otherwise"
ὄντες,"I am, exist"
πολύς,"much, many, often"
ἀνθρώπῳ,"a man, one of the human race"
παραβολήν,"a parable, comparison"
ἕτερον,"another, different"
Πέτρον,Peter
μείζων,"large, great"
οἰκίᾳ,"a house, household"
ἁγίῳ,"set apart, holy, sacred"
σάρξ,"flesh, body"
μακάριοι,"happy, blessed"
πῦρ,"fire, trials"
χειρός,a hand
Ἰουδαίοις,Jewish
δυνάμει,"might, power, marvelous works"
ἀρχῆς,"ruler, beginning"
οὔπω,not yet
λαῷ,"a people, the crowd"
ὄχλου,a crowd
ποιήσω,"I do, make"
σώματι,"body, flesh"
εἰρήνην,"peace, peace of mind"
πλῆθος,a multitude
θάνατον,death
βασιλείας,"kingship, sovereignty, authority, rule, kingdom"
λίθον,a stone
αἰῶνος,"an age, a cycle of time"
μέγας,"large, great"
Ἡρῴδης,Herod
ἄλλος,"other, another, different"
οὗ,"where, whither, when"
δέκα,ten
γενόμενος,"I come into being, am born"
ποιεῖν,"I do, make"
μήποτε,"lest at any time, lest, perhaps"
εἶχε(ν),"I have, hold, possess"
πιστεύων,"I believe, have faith in"
καιρῷ,"fitting season, opportunity, time"
τίνα,"who, which, what"
ἀσπάσασθε,"I greet, salute, pay my respects to"
τρίτον,third
ἐκκλησίᾳ,"an assembly, congregation, church"
λαός,"a people, the crowd"
ποτήριον,a drinking cup
πολλούς,"much, many, often"
πάτερ,"father, Father, ancestor"
ἰδίαν,"one's own, private, personal"
γῆ,"the earth, soil, land"
ζωή,life
ἐρήμῳ,"deserted, desolate, a desert"
θάνατος,death
ὕπαγε,"I go away, depart"
πατέρες,"father, Father, ancestor"
κακόν,"bad, evil"
γίνεσθε,"I come into being, am born"
σπέρμα,"seed, offspring"
δεξιῶν,"on the right hand, right hand, right"
διδάσκων,I teach
προσελθών,"I come near, consent to"
Μωϋσέως,Moses
ποιῶ,"I do, make"
ἐπαγγελίας,a promise
χάριτι,"grace, favor, kindness"
ἄγγελοι,"an angel, messenger"
εὐαγγελίου,"the good news, the gospel"
ὁδῷ,"a way, road, journey"
πέραν,"over, beyond"
ὕδωρ,water
φωνῆς,"a sound, noise, voice"
διότι,"on this account, because, for"
λέγοντος,"I say, speak"
δώσω,"I offer, give"
λόγους,"a word, speech, divine utterance, analogy"
ἐξῆλθον,"I go out, come out"
πολύ,"much, many, often"
ἡμέρα,a day
εἰδότες,"I know, remember"
ἐκείνου,"that, that one there, yonder"
ἀποστόλων,"an apostle, a messenger, an envoy, a delegate"
χαρᾶς,"joy, gladness"
γινώσκετε,"I come to know, learn, realize"
εἰδώς,"I see, look upon, experience"
ὕδατος,water
ἡμερῶν,a day
λαλῆσαι,"I speak, say"
ἀλήθειαν,truth
ὥραν,"an hour, season"
ἀνέβη,"I go up, mount, ascend"
γυναικός,"a woman, wife, my lady"
λαβεῖν,"I receive, take"
ἑνί,one
οἶδε(ν),"I know, remember"
βασιλείᾳ,"kingship, sovereignty, authority, rule, kingdom"
εἴπῃ,"I say, speak"
ἐπίστευσαν,"I believe, have faith in"
ζητεῖτε,"I seek, search for, desire"
μέλη,"a limb, member"
ἀντί,"instead of, for"
Ἰούδας,"Judah, Judas, Jude"
λέγεις,"I say, speak"
ῥῆμα,a thing spoken
πόλις,a city
μικρόν,"little, small"
τεσσεράκοντα,forty
δοῦλοι,a male slave
ἄγγελον,"an angel, messenger"
καιρόν,"fitting season, opportunity, time"
γραφή,"a writing, passage of scripture, the scriptures"
πρεσβυτέρων,elder
δυνάμεως,"might, power, marvelous works"
δόξῃ,"honor, renown, glory splendor"
κρίμα,"a judgment, verdict, lawsuit"
λαλεῖν,"I speak, say"
προφῆται,"a prophet, poet"
ὥρας,"an hour, season"
πόλει,a city
καρδίαις,"the heart, inner life, intention"
ἔλαβε(ν),"I receive, take"
ἀδελφῶν,a brother
μηδενί,"no one, nothing"
ἐλθόντες,"I come, go"
πιστεύετε,"I believe, have faith in"
ἐξελθών,"I go out, come out"
ἔβαλε(ν),"I cast, throw, rush, put, place, drop"
ἄνδρας,"a male human being, a man"
ποιήσας,"I do, make"
ἤγειρε(ν),"I wake, arouse, raise up"
πρεσβύτεροι,elder
λέγουσα,"I say, speak"
μηκέτι,no longer
γέ,"at least, indeed, really"
ὅλην,"all, the whole, entire"
ἐλάλει,"I speak, say"
ἔρχομαι,"I come, go"
αὐταῖς,"he, she, it, they, them, same"
αἵματι,blood
Ἰσαάκ,Isaac
σωτηρίας,"deliverance, salvation"
πολλῷ,"much, many, often"
δυνάμεις,"might, power, marvelous works"
ἀφῆκε(ν),"I send away, release, remit, forgive, permit"
δοκεῖ,"I think, seem, appear, it seems"
πληρωθῇ,"I fill, fulfill, complete"
τινές,"any one, some one"
μαθητής,"a learner, disciple, pupil"
ὡσεί,"as if, as it were, like, about"
ἀλλήλων,one another
ἱερόν,a temple
ἐκκλησίαν,"an assembly, congregation, church"
φυλῆς,"a tribe, race"
παρακαλῶ,"I summon, entreat, admonish, comfort"
ἀκούειν,"I hear, listen"
προσκαλεσάμενος,I summon
ἔλεος,"pity, mercy"
δίκαιος,"just, righteous, impartial"
ἕνεκεν,"for the sake of, on account of, wherefore"
χειρί,a hand
ἀγγέλους,"an angel, messenger"
νυνί,"now, already, at present"
ἔρχονται,"I come, go"
ἀπεκρίθησαν,"I answer, reply"
πότε,"when, at what time"
ἤρξαντο,"I reign, rule"
ἤκουσαν,"I hear, listen"
ποδῶν,the foot
μαρτυρίαν,"witness, evidence, testimony"
εἰρήνης,"peace, peace of mind"
οἶνον,wine
δώσει,"I offer, give"
ἐκείνης,"that, that one there, yonder"
τιμήν,"a price, honor"
ἔγραψα,I write
οἴκῳ,"a house, household"
τίνι,"who, which, what"
δούλους,a male slave
ἐντολήν,"an ordinance, injunction, command"
νεκρούς,"dead, a corpse"
εἰσελθών,"I go in, come in, enter"
ἁγίοις,"set apart, holy, sacred"
μεγάλην,"large, great"
ἀνδρί,"a male human being, a man"
ἑκάστῳ,"each, every one"
καρδία,"the heart, inner life, intention"
χιλιάδες,a thousand
λαλῶ,"I speak, say"
μόνος,"only, solitary, desolate"
Μαρία,"Mary, Miriam"
ἄξιος,"worthy, worthy of, deserving"
ἀκούετε,"I hear, listen"
ἦτε,"I am, exist"
θέλει,"I will, wish, desire"
ἐπάνω,"on the top, above, superior to"
εἶχον,"I have, hold, possess"
θηρίον,"a wild beast, animal"
τούτοις,"this, he, she, it"
πνεύματα,"wind, breath, spirit"
ἐζήτουν,"I seek, search for, desire"
πλεῖον,"much, many, often"
μαρτύριον,"witness, evidence, testimony"
βιβλίον,a papyrus roll
μιᾷ,one
προσώπου,"the face, countenance, surface"
σωτηρίαν,"deliverance, salvation"
ὤφθη,"I see, look upon, experience"
ὄντα,"I am, exist"
δίκαιον,"just, righteous, impartial"
λαλεῖ,"I speak, say"
ἐλπίδα,"hope, expectation"
οἶκος,"a house, household"
ὄχλους,a crowd
ἔθνος,"a race, people, the Gentiles"
ἠγέρθη,"I wake, arouse, raise up"
θέλεις,"I will, wish, desire"
ἀληθῶς,"truly, really, certainly"
ἐντολάς,"an ordinance, injunction, command"
ἴδιον,"one's own, private, personal"
ἐκκλησίαις,"an assembly, congregation, church"
ἀπόστολος,"an apostle, a messenger, an envoy, a delegate"
δοῦλον,a male slave
θέλετε,"I will, wish, desire"
πολλάκις,"many times, often"
ἐμαυτόν,of myself
καρδίαν,"the heart, inner life, intention"
ὅλης,"all, the whole, entire"
ἀγάπης,love
μέχρι(ς),"as far as, until"
ἐξελθόντες,"I go out, come out"
ἠκολούθησαν,"I accompany, attend, follow"
μισθόν,"wages, reward"
μέγα,"large, great"
παραχρῆμα,"instantly, immediately"
λαλοῦντος,"I speak, say"
ἤκουσε(ν),"I hear, listen"
ἀδελφοῖς,a brother
ἀπῆλθον,"I come or go away from, depart, return"
ἀναστάσεως,"a rising again, resurrection"
μήτι,"if not, unless"
Ἰουδαίους,Jewish
χαρά,"joy, gladness"
ἄλλον,"other, another, different"
ὡσαύτως,likewise
ποιήσει,"I do, make"
γεγραμμένον,I write
φησί(ν),I say
βάπτισμα,the rite or ceremony of baptism
Γαλιλαίαν,Galilee
ἤνοιξε(ν),I open
ἐρχόμενον,"I come, go"
λαμβάνει,"I receive, take"
παρέδωκε(ν),"I hand over, deliver, betray"
δένδρον,a tree
ἐπαύριον,tomorrow
Παύλῳ,Paul
οὔ,"no, not"
πορεύεσθαι,"I travel, journey, go"
ἀκοῦσαι,"I hear, listen"
γραμματέων,"a scribe, town-clerk, man of learning"
προσελθόντες,"I come near, consent to"
ἀδελφοῦ,a brother
φυλακῇ,"a watching, guard, prison, imprisonment"
ὦτα,the ear
γένοιτο,"I come into being, am born"
υἱῶν,"a son, descendent"
ἔγνωσαν,"I come to know, learn, realize"
ὅσον,"how much, how great, how many"
ὦ,"O, an exclamation"
οἰκίας,"a house, household"
ἐρεῖ,"I say, speak"
μία,one
ὀνόματος,"name, character, reputation"
μνημεῖον,"a tomb, sepulcher"
καιρός,"fitting season, opportunity, time"
ἑκατόν,one hundred
οἶδας,"I know, remember"
Σατανᾶς,"an adversary, Satan"
πλησίον,"near, nearby, a neighbor"
ἀνδρός,"a male human being, a man"
μέλλει,I am about to
κακῶς,"badly, evilly"
ψυχή,"the soul, life, self"
Σίμωνος,Simon
πυρί,"fire, trials"
Σίμωνα,Simon
Ἠλίας,Elijah
βασιλεῖς,"a king, ruler, emperor"
μεγάλης,"large, great"
ἀρνίου,a lamb
μακάριος,"happy, blessed"
ἐξουσίᾳ,"power, authority, weight"
ἀπόστολοι,"an apostle, a messenger, an envoy, a delegate"
τόπος,a place
κἄν,"and if, even if"
δός,"I offer, give"
Καφαρναούμ,Capernaum
μέσον,"middle, in the middle"
θηρίου,"a wild beast, animal"
ἐκεῖνοι,"that, that one there, yonder"
ἔδει,"it is necessary, inevitable"
εἰπεῖν,"I say, speak"
λαλῶν,"I speak, say"
ἐπηρώτησε(ν),"I interrogate, question, demand of"
ἀποθανεῖν,"I am dying, am about to die"
ἱμάτιον,outer garment
λόγοις,"a word, speech, divine utterance, analogy"
μυστήριον,"anything hidden, a mystery"
καθήμενος,"I sit, am seated"
σαββάτῳ,"the Sabbath, a week"
αἰτίαν,"a cause, reason, charge"
οὐδένα,"no one, none, nothing"
διαθήκης,"a covenant, will, testament"
ἀπελθών,"I come or go away from, depart, return"
μέρος,"a part, portion"
ἔχοντας,"I have, hold, possess"
διακονίαν,"waiting at table, service, ministration"
ἔγνω,"I come to know, learn, realize"
ἔπειτα,"then, thereafter, afterwards"
χειρῶν,a hand
συνείδησιν,the conscience
πᾶσαι,"all, the whole, every kind of"
οὐδέποτε,never
Ἰάκωβον,James
ἐπαγγελίαν,a promise
τέκνον,"a child, descendent, inhabitant"
γυναικί,"a woman, wife, my lady"
δοθήσεται,"I offer, give"
τινος,"any one, some one"
εὗρε(ν),I find
ἀρχιερέως,"high priest, chief priest"
ἀποκτεῖναι,"I put to death, kill"
ἀληθής,"unconcealed, true"
γνῶναι,"I come to know, learn, realize"
ὀφθαλμός,the eye
ἐκείναις,"that, that one there, yonder"
ἄλλα,"other, another, different"
