ὁ,the
παρακαλέω,"I summon, entreat, admonish, comfort"
ἀνίστημι,"I raise up, set up, rise from"
ὅλος,"all, the whole, entire"
ὥρα,"an hour, season"
σῴζω,"I save, heal"
πῶς,"how, in what manner"
ὅτε,when
ἐξουσία,"power, authority, weight"
ψυχή,"the soul, life, self"
ἀγαθός,good
ὁδός,"a way, road, journey"
καλός,"beautiful, good, worthy"
αἴρω,"I raise, lift up"
τίθημι,"I put, place"
ἀλλήλων,one another
ὀφθαλμός,the eye
τέκνον,"a child, descendent, inhabitant"
ἕτερος,"another, different"
αἷμα,blood
γεννάω,"I beget, bring forth, give birth to"
ἄρτος,"bread, a loaf, food"
διδάσκω,I teach
Φαρισαῖος,a Pharisee
ἐκεῖ,"there, yonder, thither"
φοβέομαι,"I fear, am terrified"
περιπατέω,"I walk, conduct my life"
ἐνώπιον,"before the face of, in the presence of"
τόπος,a place
οἰκία,"a house, household"
ἔτι,"still, yet, even now"
πούς,the foot
εἰρήνη,"peace, peace of mind"
δικαιοσύνη,"justice, justness, righteousness"
κάθημαι,"I sit, am seated"
ἀπόλλυμι,"I destroy, lose, am perishing"
μηδείς,"no one, nothing"
θάλασσα,"the sea, lake"
πίπτω,"I fall, fall under"
ἀκολουθέω,"I accompany, attend, follow"
ἑπτά,seven
οὔτε,"and not, neither, nor"
ἄρχω,"I reign, rule"
προσέρχομαι,"I come near, consent to"
πληρόω,"I fill, fulfill, complete"
καιρός,"fitting season, opportunity, time"
προσεύχομαι,"I pray, pray for"
ὥστε,"so that, therefore"
μήτηρ,a mother
κἀγώ,"I also, I too"
ὅπου,"where, whither"
ἕκαστος,"each, every one"
μᾶλλον,"more, rather"
ἀναβαίνω,"I go up, mount, ascend"
ἐκβάλλω,"I throw, cast, put out, banish, bring forth, produce"
καταβαίνω,"I go down, come down"
Μωϋσῆς,Moses
δίκαιος,"just, righteous, impartial"
ὑπάγω,"I go away, depart"
πέμπω,I send
ἀπόστολος,"an apostle, a messenger, an envoy, a delegate"
πονηρός,"evil, bad, wicked"
στόμα,"the mouth, speech"
βαπτίζω,"I dip, submerge, baptize"
ἀνοίγω,I open
σημεῖον,"a sign, miracle, indication"
μαρτυρέω,"I witness, testify"
ἐμός,mine
Ἰερουσαλήμ,Jerusalem
πρόσωπον,"the face, countenance, surface"
ὕδωρ,water
κεφαλή,the head
εὐαγγέλιον,"the good news, the gospel"
δώδεκα,twelve
Σίμων,Simon
ἀποκτείνω,"I put to death, kill"
χαίρω,"I rejoice, am glad"
Ἀβραάμ,Abraham
φῶς,"light, a source of light"
πίνω,"I drink, imbibe"
πῦρ,"fire, trials"
τηρέω,"I keep, guard, observe"
αἰτέω,"I ask, request, beg, petition"
αἰώνιος,"eternal, unending"
σάββατον,"the Sabbath, a week"
Ἰσραήλ,Israel
τρεῖς,three
πιστός,"trustworthy, faithful, believing"
ἀπολύω,"I release, let go, send away, divorce"
πλοῖον,"a ship, vessel"
ῥῆμα,a thing spoken
φέρω,"I carry, bear, bring, lead"
ἄγω,I lead
καρπός,"fruit, result, gain"
ἐντολή,"an ordinance, injunction, command"
πρεσβύτερος,elder
φημί,I say
εἴτε,"and if, whether"
δαιμόνιον,"an evil-spirit, demon"
Ἱεροσόλυμα,Jerusalem
θρόνος,"a throne, seat"
γραμματεύς,"a scribe, town-clerk, man of learning"
ἐρωτάω,"I ask, question, request"
δοκέω,"I think, seem, appear, it seems"
θέλημα,"will, wish, desire"
ἔξω,"without, outside"
ὄρος,a mountain
νύξ,"the night, night-time"
ὧδε,here
ἀγαπητός,"loved, beloved"
δοξάζω,"I glorify, honor, bestow glory on"
κηρύσσω,"I proclaim, herald, preach"
Γαλιλαία,Galilee
ἱμάτιον,outer garment
ὑπάρχω,"I am, exist, am in possession"
προσκυνέω,I worship
ἤδη,"now, already"
συνάγω,I gather together
Δαυίδ,David
εὐθύς,"straight, immediately"
χαρά,"joy, gladness"
ἀσπάζομαι,"I greet, salute, pay my respects to"
διδάσκαλος,a teacher
θεωρέω,"I behold, look at, experience"
λίθος,a stone
μηδέ,"and not, not even"
ἐπερωτάω,"I interrogate, question, demand of"
συναγωγή,"an assembly, congregation, synagogue"
δέχομαι,"I take, receive, accept, welcome"
τοιοῦτος,"of such a kind, such"
μέσος,"middle, in the middle"
λοιπός,"left, left behind, the remainder"
τρίτος,third
ἀρχή,"ruler, beginning"
κράζω,"I cry aloud, shriek"
Πιλᾶτος,Pilate
εὐαγγελίζω,"I bring good news, preach good tidings"
δεξιός,"on the right hand, right hand, right"
ὅπως,"how, in order that, so that"
χρόνος,"time, a particular time, season"
διό,wherefore
οὐχί,"by no means, not at all"
ἐλπίς,"hope, expectation"
ἔσχατος,"last, at the last, finally"
πείθω,"I persuade, urge"
σπείρω,"I sow, spread, scatter"
ἐπαγγελία,a promise
παιδίον,"a little child, an infant"
σοφία,wisdom
τυφλός,blind
κακός,"bad, evil"
παραβολή,"a parable, comparison"
ποῦ,"where, whither"
γλῶσσα,"the tongue, a language, nation"
μακάριος,"happy, blessed"
παραλαμβάνω,"I take, receive"
ἄρα,"then, therefore, since"
γραφή,"a writing, passage of scripture, the scriptures"
ἔτος,a year
χρεία,"need, necessity, business"
ἔρημος,"deserted, desolate, a desert"
ἔμπροσθεν,"in front, before the face"
ἀποδίδωμι,"I give back, return, sell"
φανερόω,"I make clear, visible, or manifest"
